django_field,reporting_year,emission_factor,unit,indicator,source_reference,notes
luc_deforestation_ha,2019,165000.0,kg CO2e / ha,GWP100,"IPCC 2019 Refinement, Vol 4, Ch 5","Estimación de pérdida de biomasa aérea y carbono en suelo para conversión de bosque seco tropical/matorral en México a cultivo agrícola perenne (aprox. 165 tCO2e/ha)."
fertilizer_n_kg,2021,8.13,kg CO2e / kg N,GWP100,"Ecoinvent 3.8 + IPCC 2019","Incluye carga de producción cuna-a-puerta (~3.45 Ecoinvent) y emisiones directas N2O en campo (~4.68 calculado vía IPCC: 1% volatilización a N2O, GWP=298)."
fertilizer_p_kg,2021,1.15,kg CO2e / kg P2O5,GWP100,"Ecoinvent 3.8: market for phosphate fertiliser, as P2O5 (GLO)","Solo incluye carga de producción y suministro (cuna a puerta)."
fertilizer_k_kg,2021,0.55,kg CO2e / kg K2O,GWP100,"Ecoinvent 3.8: market for potassium fertiliser, as K2O (GLO)","Solo incluye carga de producción y suministro (cuna a puerta)."
pesticides_active_kg,2021,10.5,kg CO2e / kg AI,GWP100,"Ecoinvent 3.8: market for pesticide, unspecified (GLO)","Promedio genérico mundial de impacto cuna a puerta para ingredientes activos no especificados."
yeast_nutrients_kg,2021,1.20,kg CO2e / kg,GWP100,"Ecoinvent 3.8: market for yeast","Carga de producción cuna a puerta de levadura comercial."
ref_r22_leaked_kg,2007,1810.0,kg CO2e / kg,GWP100,"IPCC AR4, WGI, Chapter 2 (Table 2.14)","Valor de GWP-100 para R-22 (estándar corporativo de GHG Protocol)."
ref_r134a_leaked_kg,2007,1430.0,kg CO2e / kg,GWP100,"IPCC AR4, WGI, Chapter 2 (Table 2.14)","Valor de GWP-100 exacto para R-134a (alineado con la referencia esperada del protocolo)."
municipal_water_m3,2021,0.001,kg CO2e / L,GWP100,"Ecoinvent 3.8: tap water supply","Tratamiento y distribución de agua potable de red municipal."
evapotranspiration_mm,2018,421.0,m3 eq / ha,AWARE,"WULCA AWARE (Boulay et al., 2018)","Factor de caracterización promedio país (México) para uso agrícola es 42.1 m3 eq/m3. 1 mm de ET por hectárea equivale a 10 m3 de agua (42.1 * 10 = 421)."
vinasse_cod_mg_l,2019,0.000005,kg CO2e / L,GWP100,"IPCC 2019, Vol 5, Ch 6 (Wastewater Treatment)","MCF=0.8 (fosa profunda), B0=0.25 kg CH4/kg DQO, GWP(CH4)=25. Genera 5 kg CO2e por kg de DQO. Para 1 mg/L, el factor por litro es 5 * 10^-6."
bagasse_boiler_pct,2021,-0.22,kg CO2e / kg,GWP100,"IPCC 2019 / Bio-energy Credit","Sustitución de energía en calderas de biomasa."
solid_waste_recycled_t,2020,-3.098,kg CO2e / kg,GWP100,"EPA WARM v15 (Mixed Recyclables)","Crédito de -2.81 Toneladas Cortas CO2e/tonelada corta convertido a toneladas métricas. Refleja emisiones evitadas por el procesamiento de reciclables mixtos."
